Body;Model;Last TP;Engine;Color;SFX;Transmission;PPO;Seq;Comment;Welding;Seq
11223;831W;T6;AXAA54L-RNZMBX;218;52;8AT; ;   ;  ;;
11224;664W;T6;ASV70L-RETNKX ;218;B3;   ; ;   ;  ;;
11225;831W;T6;MXAA54L-RNXMBX;089;54;CVT; ;   ;  ;;
11226;664W;T6;ASV71L-RETNHX ;218;A3;   ; ;   ;  ;;
11227;831W;T4;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11228;664W;T6;ASV70L-RETNKX ;221;B5;   ; ;   ;  ;;
11229;831W;T6;MXAA54L-RNXMBX;2PS;53;CVT; ;   ;  ;;
11230;831W;T6;AXAA54L-RNZGBX;040;88;8AT; ;   ;  ;;
11231;664W;T6;ASV70L-RETNKX ;218;B4;   ; ;   ;  ;;
11232;831W;T6;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11233;664W;T6;GSV70L-REZGBX ;218;C6;   ; ;   ;  ;;
11234;831W;T6;MXAA52L-RNXMBX;089;51;CVT; ;   ;  ;;
11235;664W;T6;ASV70L-RETNKX ;1F7;B5;   ; ;   ;  ;;
11236;831W;T6;AXAA54L-RNZGBX;089;85;8AT; ;   ;  ;;
11237;831W;T5;MXAA54L-RNXMBX;1F7;52;CVT; ;   ;  ;;
11238;664W;T6;ASV70L-RETNKX ;218;BX;   ; ;   ;  ;;
11239;831W;T6;AXAA54L-RNZMBX;2PS;53;8AT; ;   ;  ;;
11240;664W;T6;ASV70L-RETNKX ;089;BX;   ; ;   ;  ;;
11241;831W;T6;MXAA54L-RNXGBX;218;85;CVT; ;   ;  ;;
11242;664W;T6;ASV70L-RETNKX ;089;B4;   ; ;   ;  ;;
11243;831W;T6;AXAA54L-RNZMBX;218;52;8AT; ;   ;  ;;
11244;664W;T6;ASV71L-RETNHX ;040;A1;   ; ;   ;  ;;
11245;831W;T5;MXAA52L-RNFXBX;218;20;6MT; ;   ;  ;;
11246;831W;T5;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11247;664W;T5;ASV70L-RETNKX ;218;B3;   ; ;   ;  ;;
11248;831W;W2;MXAA54L-RNXGBX;089;87;CVT; ;   ;z ;11248;
11249;664W;T4;ASV70L-RETNKX ;218;B2;   ; ;   ;  ;;
11250;831W;T4;AXAA54L-RNZMBX;2PS;53;8AT; ;   ;  ;;
11251;664W;T4;ASV70L-RETNKX ;089;B5;   ; ;   ;  ;;
11252;831W;T4;MXAA54L-RNXMBX;1F7;52;CVT; ;   ;  ;;
11253;831W;T2;AXAA54L-RNZGBX;4X7;88;8AT; ;   ;  ;;
11254;664W;T2;ASV70L-RETNKX ;089;BX;   ; ;   ;  ;;
11255;831W;T2;MXAA54L-RNXMBX;8W9;52;CVT; ;   ;  ;;
11256;664W;T2;GSV70L-REZGBX ;218;C5;   ; ;   ;  ;;
11257;831W;T2;MXAA52L-RNXMBX;089;51;CVT; ;   ;  ;;
11258;664W;T2;ASV70L-RETNKX ;218;Z2;   ; ;   ;  ;;
11259;831W;T2;MXAA54L-RNXGBX;089;85;CVT; ;   ;  ;;
11260;664W;T2;ASV70L-RETNKX ;218;B2;   ; ;   ;  ;;
11261;831W;T2;AXAA54L-RNZMBX;2PS;53;8AT; ;   ;  ;;
11262;831W;T2;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11263;664W;T2;ASV70L-RETNKX ;218;B5;   ; ;   ;  ;;
11264;831W;T2;AXAA54L-RNZGBX;089;88;8AT; ;   ;  ;;
11265;664W;T2;ASV70L-RETNKX ;218;B3;   ; ;   ;  ;;
11266;831W;T2;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11267;664W;T2;ASV70L-RETNKX ;4X7;B4;   ; ;   ;  ;;
11268;831W;T2;AXAA54L-RNZMBX;1F7;56;8AT; ;   ;  ;;
11269;831W;T2;MXAA54L-RNXGBX;218;85;CVT; ;   ;  ;;
11270;664W;T2;ASV71L-RETNHX ;089;A2;   ; ;   ;  ;;
11271;831W;T1;MXAA54L-RNXMBX;2PS;53;CVT; ;   ;  ;;
11272;664W;T1;ASV70L-RETNKX ;089;B5;   ; ;   ;  ;;
11273;831W;T1;MXAA52L-RNFXBX;218;20;6MT; ;   ;  ;;
11274;664W;T1;ASV70L-RETNKX ;089;BX;   ; ;   ;  ;;
